ip,common_name,organization,country,locality,province,sandns,sanip,selfsigned

"54.145.207.255","*.nasic.af.mil","","","","","*.nasic.af.mil|*.coder.nasicgxkaws.com|coder.nasicgxkaws.com","","false"
"54.88.50.219","nudl-arcgis.nga.mil","AWS","US","Brunswick","Maryland","","","true"
"15.205.0.154","interact.josce.mil","U.S. Government","US","","","bbb40.interact.josce.mil|bbb39.interact.josce.mil|bbb38.interact.josce.mil|bbb37.interact.josce.mil|bbb36.interact.josce.mil|bbb35.interact.josce.mil|bbb34.interact.josce.mil|bbb33.interact.josce.mil|bbb32.interact.josce.mil|bbb31.interact.josce.mil|bbb30.interact.josce.mil|bbb29.interact.josce.mil|bbb28.interact.josce.mil|bbb27.interact.josce.mil|bbb26.interact.josce.mil|bbb25.interact.josce.mil|bbb24.interact.josce.mil|bbb23.interact.josce.mil|bbb22.interact.josce.mil|bbb21.interact.josce.mil|bbb20.interact.josce.mil|bbb19.interact.josce.mil|bbb18.interact.josce.mil|bbb17.interact.josce.mil|bbb16.interact.josce.mil|bbb15.interact.josce.mil|bbb14.interact.josce.mil|bbb13.interact.josce.mil|bbb12.interact.josce.mil|bbb11.interact.josce.mil|bbb10.interact.josce.mil|bbb9.interact.josce.mil|bbb8.interact.josce.mil|bbb7.interact.josce.mil|bbb6.interact.josce.mil|bbb5.interact.josce.mil|bbb4.interact.josce.mil|bbb3.interact.josce.mil|bbb2.interact.josce.mil|bbb1.interact.josce.mil|turn.interact.josce.mil|interact.josce.mil","","false"
"15.205.1.85","auth.aws.cdl.af.mil","U.S. Government","US","","","auth.aws.cdl.af.mil","","false"
"15.205.16.13","interact.josce.mil","U.S. Government","US","","","bbb40.interact.josce.mil|bbb39.interact.josce.mil|bbb38.interact.josce.mil|bbb37.interact.josce.mil|bbb36.interact.josce.mil|bbb35.interact.josce.mil|bbb34.interact.josce.mil|bbb33.interact.josce.mil|bbb32.interact.josce.mil|bbb31.interact.josce.mil|bbb30.interact.josce.mil|bbb29.interact.josce.mil|bbb28.interact.josce.mil|bbb27.interact.josce.mil|bbb26.interact.josce.mil|bbb25.interact.josce.mil|bbb24.interact.josce.mil|bbb23.interact.josce.mil|bbb22.interact.josce.mil|bbb21.interact.josce.mil|bbb20.interact.josce.mil|bbb19.interact.josce.mil|bbb18.interact.josce.mil|bbb17.interact.josce.mil|bbb16.interact.josce.mil|bbb15.interact.josce.mil|bbb14.interact.josce.mil|bbb13.interact.josce.mil|bbb12.interact.josce.mil|bbb11.interact.josce.mil|bbb10.interact.josce.mil|bbb9.interact.josce.mil|bbb8.interact.josce.mil|bbb7.interact.josce.mil|bbb6.interact.josce.mil|bbb5.interact.josce.mil|bbb4.interact.josce.mil|bbb3.interact.josce.mil|bbb2.interact.josce.mil|bbb1.interact.josce.mil|turn.interact.josce.mil|interact.josce.mil","","false"
"15.205.17.240","interact.stage.josce.mil","U.S. Government","US","","","bbb2.interact.stage.josce.mil|bbb1.interact.stage.josce.mil|turn.interact.stage.josce.mil|interact.stage.josce.mil","","false"
"15.205.18.94","interact.josce.mil","U.S. Government","US","","","bbb40.interact.josce.mil|bbb39.interact.josce.mil|bbb38.interact.josce.mil|bbb37.interact.josce.mil|bbb36.interact.josce.mil|bbb35.interact.josce.mil|bbb34.interact.josce.mil|bbb33.interact.josce.mil|bbb32.interact.josce.mil|bbb31.interact.josce.mil|bbb30.interact.josce.mil|bbb29.interact.josce.mil|bbb28.interact.josce.mil|bbb27.interact.josce.mil|bbb26.interact.josce.mil|bbb25.interact.josce.mil|bbb24.interact.josce.mil|bbb23.interact.josce.mil|bbb22.interact.josce.mil|bbb21.interact.josce.mil|bbb20.interact.josce.mil|bbb19.interact.josce.mil|bbb18.interact.josce.mil|bbb17.interact.josce.mil|bbb16.interact.josce.mil|bbb15.interact.josce.mil|bbb14.interact.josce.mil|bbb13.interact.josce.mil|bbb12.interact.josce.mil|bbb11.interact.josce.mil|bbb10.interact.josce.mil|bbb9.interact.josce.mil|bbb8.interact.josce.mil|bbb7.interact.josce.mil|bbb6.interact.josce.mil|bbb5.interact.josce.mil|bbb4.interact.josce.mil|bbb3.interact.josce.mil|bbb2.interact.josce.mil|bbb1.interact.josce.mil|turn.interact.josce.mil|interact.josce.mil","","false"
"15.205.19.8","*.highbond.mil","","","","","*.highbond.mil|highbond.mil","","false"
"15.205.22.58","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.23.23","interact.stage.josce.mil","U.S. Government","US","","","bbb2.interact.stage.josce.mil|bbb1.interact.stage.josce.mil|turn.interact.stage.josce.mil|interact.stage.josce.mil","","false"
"15.205.24.85","*.diu.mil","Defense Innovation Unit","US","Mountain View","California","*.diu.mil","","false"
